Filename,Size,LastModified,SummaryTag
src/components/BaselineFingerprintWizard.tsx,10935,2026-01-22T14:50:24.414Z,UI_PLUS_ENGINEERING
src/services/FrancisHealthDiagnostics.ts,10888,2026-01-25T14:20:28.157Z,ENGINEERING_LOGIC
src/components/dashboard/AuxiliarySystemsDashboard.tsx,10881,2026-01-24T19:52:33.672Z,UI_COMPONENT
src/components/VisualInspectionHub.tsx,10810,2026-01-22T14:50:24.445Z,UI_COMPONENT
src/components/PerformanceGuardDashboard.tsx,10747,2026-01-22T14:50:24.434Z,UI_PLUS_ENGINEERING
src/components/dashboard/CyberMap.tsx,10727,2026-01-24T19:30:10.200Z,UI_COMPONENT
src/services/TurbineMasterCore.ts,10706,2026-01-25T11:44:39.769Z,ENGINEERING_LOGIC
src/services/GeopoliticalPulse.ts,10614,2026-01-24T20:55:05.069Z,MISC
src/services/LegacyBridgeService.ts,10580,2026-01-26T17:58:17.513Z,MISC
src/services/SCADAHeartbeat.ts,10580,2026-01-22T14:50:24.602Z,ENGINEERING_LOGIC
src/services/H2Synthesizer.ts,10526,2026-01-24T21:05:39.342Z,MISC
src/components/dashboard/ResilienceDashboard.tsx,10496,2026-01-25T11:23:41.824Z,UI_PLUS_ENGINEERING
src/components/dashboard/EnvironmentalMonitoring.tsx,10365,2026-01-24T19:53:20.554Z,UI_COMPONENT
src/components/dashboard/SafetyMatrix.tsx,10084,2026-01-24T19:33:55.578Z,UI_COMPONENT
src/components/dashboard/QuickCalcCard.tsx,10054,2026-01-22T14:50:24.454Z,UI_PLUS_ENGINEERING
src/components/dashboard/PhoenixDashboard.tsx,10048,2026-01-25T11:31:15.672Z,UI_COMPONENT
src/services/OilRegenerationLogic.ts,10035,2026-01-24T21:04:50.752Z,ENGINEERING_LOGIC
src/services/ProceduralTranslator.ts,9991,2026-01-24T19:59:26.038Z,ENGINEERING_LOGIC
src/demos/IntelligentLubricationDemo.ts,9831,2026-01-22T14:50:24.521Z,MISC
src/demos/FrancisVerticalDemo.ts,9792,2026-01-22T14:50:24.520Z,ENGINEERING_LOGIC
src/data/componentData.ts,9609,2026-01-22T14:50:24.513Z,MISC
src/components/Special istDamageCard.tsx,9535,2026-01-22T14:50:24.440Z,UI_PLUS_ENGINEERING
src/services/DocumentDiscoveryService.ts,9364,2026-01-22T14:50:24.581Z,ENGINEERING_LOGIC
